Live Up to My Name,Baka Not Nice,61mnlyQlnPuq1GEX0LxIWh
Modern Slavery,Huncho Jack,7J6bnDDitOwfelaJNixHhL
Shoota (feat. Lil Uzi Vert),Playboi Carti,2BJSMvOGABRxokHKB0OI8i
Please Shut Up,A$AP Mob,3LyNsopPP3hXf8bZBE7cDk
Costa Rica (feat. Ski Mask The Slump God),Ronny J,6JxdRch1BQkPVUWjcuudvI
Feel The Love,KIDS SEE GHOSTS,3aUFrxO1B8EW63QchEl3wX
Where U From,Huncho Jack,11cCVYamncF0ezwjj1irQ0
Daddy's Birthday,Young Thug,347hgqCHnL4GfgVX5hZfNv
GHOST,Jaden Smith,0aWMostcnfyjuCEcO7sTz5
Yamborghini High,A$AP Mob,2rqUblDWJKlMVwh9uJc0Vv
Catch Me Outside,Ski Mask The Slump God,4rgwri7LajWVZvdj2N81SS
Cake,88GLAM,3ZOwmSmQKX4vTK4N6e2GsW
End Of Discussion (feat. Lil Wayne),Rich The Kid,0qFX9pVJQB4lBMxRoFXqGr
Switch,6LACK,6g1lGlApRBJD8pPNmMgQ9Z
Tomorrow Til Infinity (feat. Gunna),Young Thug,6Zm6fxOVPzyArjrNPx9LRe
Lean Wit Me,Juice WRLD,29tc0GbW0pTSBZSCZF3NWk
Herside Story,GoldLink,564oa00vY05d1uYnTEAAmE
Champion (feat. Travis Scott),NAV,6nO3tr47nr2P7f3hXb8JIo
Off-White (feat. Mongo),Global Dan,7bDqSfQ7Sj0mA4hiswGr3t
This Year,Lil Tracy,1tLw4K7LFW5TjlRAbICVTj
Dead Faces,Yung Bans,09gzaHlg7KPja7ZcCKebcF
Motorcycle Patches,Huncho Jack,7g7raxdQpiLZT7aOlib4S1
Meditate (feat. J.I.D.),EARTHGANG,0Eqm7hD828cATBLUx2fJox
I Heard You Got Too Litt Last Night,SAINt JHN,4A5owiyEiYxDuDPvTrRCxS
Got Friends,GoldLink,1PVza5KmhSJhz12OewWciE
Bucket List,Saba,4BJpGfAf7hJiUeZilWT2Mf
New Choppa,Playboi Carti,30sc425JEvj3tgmGAKORea
Bad Company,A$AP Rocky,3ZYwSDF9knZI0RVlKR4PHC
Fingers Blue (feat. Travis Scott),Smokepurpp,6l8McJSn8BgCTTewysSusR
New Freezer (feat. Kendrick Lamar),Rich The Kid,0eHCArTPhwUxatY7cEXRiK
Wokeuplikethis*,Playboi Carti,59J5nzL1KniFHnU120dQzt
IDK,Kid Trunks,6NsheduXyWbGpCUIAPWr4a
Walk On Water,A$AP Mob,0WQcnrsEqrY2e5nexGe3HX
Killed Before,Young Thug,0jPLBur1qXRfj3pbuJSX03
Movin' Up,Quality Control,7jTL6K5hqWDVUH4j2thZrp
Moon Rock,Huncho Jack,7bTH8LgGSwyNNE4r1k95Zp
Too Gone (feat. Khalid),Rich The Kid,4j30n3zuJQJ5qGA6rSTaST
Take a Walk,Masta Ace,5zcRPNrvp8agDQbBMewzRt
Definition,Black Star,4C7Ss9bTPOWJMh3rarF1mN
