Permiso,Gadiel,1bC7Mio04J3W4x9dtZeYH0
Envidia,J Alvarez,2b69WEj0c5b6oj8MXcWZJS
Yo Voy (feat. Daddy Yankee),Zion & Lennox,5gflgO9EPbIBf16n5TKnQS
Miles,Eladio Carrion,0SzYRwVLQTW2Jl6JmDoh03
Punto G (feat. Darell),Brytiago,63F3v5fl2h5ByplXD8w1tV
Solitario,J Balvin,5AxBtF5bpBeCem2Bq0Fwll
No Te Hagas,Jory Boy,5hKjEpYrJIJs6uPl7zw6Y6
Te He Querido,Ivy Queen,61HuVAedKGMO7jWl8ZyALQ
Solo Mia,Yandel,1ei3g2hMYh1VKvik9FoUQR
Abuso,Brytiago,1SRkUC6I28rxLS3XX5DDqE
De Vez en Cuando,Franco El Gorilla,1VRjHqcE8ttKtaj8bTaJyS
Fans,Tito El Bambino,0vI1sStQrchF1dx8fhYZVy
Sin Filtro,Romeo Santos,4SL5NcO2IO1wSfhKch6yHF
Para la Disco,Andy Rivera,1SmEzYe5vOIBYGtF3694Jl
Gata Fiera,Trebol Clan,39FpzJz9HbSiTxe97cK4LE
Haters - Remix,J Alvarez,1XuH3RXp7sCFPNof6xvFlm
Recuperar Lo Perdido,Trebol Clan,47bLqFKg961pMCAX9eVCld
Cuando Tu Quieras,J Balvin,1tWpgH8rErSXPOkQKFCag9
Lento, Alexis y Fido,5ZxiEu4PzqELNBjmamqcmn
Se Te Hizo Tarde,Nejo,4ZtSifmVEda37YUYnnHz1y
Viejo Motel,Jory Boy,7B2bFBkR5QXitoOmAR9UNT
Bipolar,Chris Jeday,4WzsycqZkpkS48H9AAAGux
Don't Stop,Zion & Lennox,2bt0uIqZR6u67zunXNKDkn
Con Su Tumbao,Trebol Clan,3fL284rWlKjSZzW42dQNQ0
Reina de Papi,Romeo Santos,5n09CeRGwKaxizUFx7xNK9
Bailen (Remix),Franco El Gorilla,3dqBmUFihufaWii7TGLXyE
One Touch (feat. AlunaGeorge and Rae Sremmurd),Baauer,6JEWDRfYmn51nfA7SUiN7u
Got Friends,GoldLink,1PVza5KmhSJhz12OewWciE
Cruzin',Snakehips,5iwb2YMVfNU5zGliOdwbcj
Wanna Ride (feat. Isaiah Rashad),Jay Rock,3FM7oymriNFjQAa4FGblLr
Day Dream feat. Splitbreed,Apashe,4enNLfTLeyZLYtjfXzqYSZ
Ay Ay,GoldLink,2OFQb1abuWOhOx3ASEbgcT
Pa Mi (with Ozuna),Tory Lanez,0CYLDwvvpJQySLA5CvqvSl
Te Suelto el Pelo,Yandel,0Gh6QG4Z1pSvIo7btP1Ux4
True Romance (feat. Jarina De Marco),GTA,10hFslvFmtAfmEUhcCHyE3
Loca Remix,Khea,2CRbiMK0W14l71SpDKqKZM
Ven,Dillon Francis,4E9VP2K0XOeLH80Ba2xZg4
No Coming Down,NGHTMRE,6hq2THIt5HGRyQ8DnvG6ff
Darte,Alex Rose,1l32xprL1vhaCYPZe3Jkxn
La Duda,Jory Boy,2JCBWT9nvDk04JWDFDlvQB
Necios,Young Tender,0XTDm3Rdx8c3gtoevBosn9
Dinero Facil,Dimelo Flow,009qDL0SYnJDBIRYuvWnIW
Aprovecha (feat. Daddy Yankee),Nova y Jory,09qIdioXLJPGXAM9zsy20v
Telemaquia de los Corazones Locos,Tino El Pinguino,7uXrV8mdjGDBd3zl5ktD7q
Agarrala,Trebol Clan,50K0GKbudptd9wZwQlQWdj
Te Pasa Lo Mismo,Andy Rivera,3pRgnUZfmYK0XXCrgoik10
Brindemos,Anuel Aa,7LeQ55Z5jPBB0ggYJtAiYO
Toma Bebe - Official Remix,Lenny Tavarez,4uJL26cmM5HEiGlqE2YhoE
Amigo,Miky Woodz,62KpVg6lsf4kKNJ0RjGlXd
Fragilidad,Rubytates,5oO4bPnaZD2cLZfMYHZqZt
Crecia,Justin Quiles,7GfSJBI4qbAG40RTa9jhVu
La Vida Que Llevamos,Gigolo Y La Exce,58tztN7QTdMGkGpHPw83Wn
