The End.,My Chemical Romance,6s2yqZbiPNPL1B2IeCMsUA
Dead!,My Chemical Romance,0uukw2CgEIApv4IWAjXrBC
This Is How I Disappear,My Chemical Romance,0rUNZQuYQvOz6A6zwyT6tM
The Sharpest Lives,My Chemical Romance,2kMjk14RmYyYhhSbipoa9U
Welcome to the Black Parade,My Chemical Romance,5wQnmLuC1W7ATsArWACrgW
I Don't Love You,My Chemical Romance,4RAOI1etsgbh5NP3T5R8rN
House of Wolves,My Chemical Romance,7j2Bmzpnf6RwEWEQ2sv8Ho
Cancer,My Chemical Romance,0GgN4MhR5GKn5IcKN0e0rG
Mama,My Chemical Romance,0Zh3tKIphLOvQux4dA6PFZ
Sleep,My Chemical Romance,2pONuBYwWrNm9jcJH6hmPc
Teenagers,My Chemical Romance,7j31rVgGX9Q2blT92VBEA0
Disenchanted,My Chemical Romance,6T7MAQCekVb3UnCykjX3BP
Famous Last Words,My Chemical Romance,2d6m2F4I7wCuAKtSsdhh83
Blood - Hidden Track,My Chemical Romance,1rNSLiEFpAF4amVhkzfTUG
Helena (So Long & Goodnight),My Chemical Romance,5dTHtzHFPyi8TlTtzoz1J9
Give 'Em Hell Kid,My Chemical Romance,0axF06XwNLobcx5z8BVtYw
To The End,My Chemical Romance,1GErReAT0swX36x3O8GyQn
You Know What They Do To Guys Like Us In Prison,My Chemical Romance,5bTuwAgYUD5MABOIPH8ZMt
I'm Not Okay (I Promise),My Chemical Romance,7lRlq939cDG4SzWOF4VAnd
The Ghost Of You,My Chemical Romance,1yKAqZoi8xWGLCf5vajroL
The Jetset Life Is Gonna Kill You,My Chemical Romance,7HKfrU3iuEFrKxTAfVznrG
Interlude,My Chemical Romance,4vpaz6338VqJIeJHq6z2mU
Thank You For The Venom,My Chemical Romance,0BpKPyXhWsTaWkgXeOd1Sn
Hang 'Em High,My Chemical Romance,262RJtiqytpugV1UvDicN9
It's Not A Fashion Statement It's A Deathwish,My Chemical Romance,4fGIqy3bvjX0jz1SJHqjjo
Cemetery Drive,My Chemical Romance,2cViIXIe8Pbd1sOJExMJlK
I Never Told You What I Do for a Living,My Chemical Romance,6gLn8QhAYL4dEwdpVjfCPl
Fake Your Death,My Chemical Romance,2M8g01v2vUMn39YQ10l7ef
Honey This Mirror Isn't Big Enough For The Two Of Us,My Chemical Romance,3CVK63YAWTCSc90CRBg7aD
Vampires Will Never Hurt You,My Chemical Romance,4CHgMsn2siH3llSPvaHruj
Helena,My Chemical Romance,3ZaS7Bcz9tpFIjfst63tSw
You Know What They Do To Guys Like Us In Prison,My Chemical Romance,0xlO6Imwi6jaFlCNWWzS7z
I'm Not Okay (I Promise),My Chemical Romance,14mqKOS4dHMf48spDuzfYv
The Ghost Of You,My Chemical Romance,7L3ZztbqdEbKItCMELoMk5
Welcome To The Black Parade,My Chemical Romance,60OyEYORxZjS7xlfoAgyjR
Cancer,My Chemical Romance,5GkmWaLP20HiMZhlRCHE42
Mama,My Chemical Romance,7KZTEpNYr4OyGDhPE8V4dN
Teenagers,My Chemical Romance,4ysna0NWUk08Le3vU4x0iV
Famous Last Words,My Chemical Romance,51D32A7guJQTmjM5is9UMp
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,7vb1HJXTK7hR3ug25xtiuY
SING,My Chemical Romance,0M2hkIRjThYwmhgPYBBVWg
Planetary (GO!),My Chemical Romance,1yvnnkDmD0NtmZYqai5eJT
The Kids From Yesterday,My Chemical Romance,2KbmrXsDOit0hvEdorMZ2o
Skylines And Turnstiles - Demo,My Chemical Romance,53rLsylqyS2zPTOWsiAAYe
Knives/Sorrow - Demo,My Chemical Romance,11NkQnWiJLu57DCSJ0SshS
Cubicles - Demo,My Chemical Romance,3Hgt4LiNlZwa2XAEZYnK8c
Irresistible,Fall Out Boy,3znPiywA0q1VK2jgAZFDoI
American Beauty/American Psycho,Fall Out Boy,3D4Xkcir5YEhk8Xidkd1dL
Centuries,Fall Out Boy,04aAxqtGp5pv12UXAg4pkq
The Kids Aren't Alright,Fall Out Boy,3x7NGlfDKQYN2wnwEnL7r9
Uma Thurman,Fall Out Boy,5PUawWFG1oIS2NwEcyHaCr
Jet Pack Blues,Fall Out Boy,7d0R90VzB45UWf3Aey0X22
Novocaine,Fall Out Boy,5F0bmCjKUufNz1bHXfgRwe
Fourth Of July,Fall Out Boy,1vrjcPplEuenckUzGGp2UR
Favorite Record,Fall Out Boy,4vC4nKK6bk9pYEVOU4EIbA
Immortals,Fall Out Boy,3Te8uLyit6X3ncNW8Fp3K2
Twin Skeleton's (Hotel In NYC),Fall Out Boy,2WWP0IPX9xFjAMraNHX390
The Phoenix,Fall Out Boy,53AuxddsgPSlqM619nJhSd
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,7s0lDK7y3XLmI7tcsRAbW0
Alone Together,Fall Out Boy,5MsZIaCYY6Tsdph0LiB0hE
Where Did The Party Go,Fall Out Boy,66324Jt0mZdXaM7f8uUitE
Just One Yesterday,Fall Out Boy,0l2p5mDOP3czJ2FpD6zWie
The Mighty Fall,Fall Out Boy,49nmsafpkJp2lDj9b4jkxh
Miss Missing You,Fall Out Boy,05Z77MHLPcBA2Wd5eDSJzl
Death Valley,Fall Out Boy,3iJmiaoZWzykf3Hl4IeYtI
Young Volcanoes,Fall Out Boy,3nSiB5WCF2pmRQrYSsteHv
Rat A Tat,Fall Out Boy,6VOWUjl7sumb6IpBPkjQat
Save Rock And Roll,Fall Out Boy,0XJDfLHO7C6b0GpjeB5mpu
Thriller,Fall Out Boy,1oTLnm3ScvsmAsYkMe76WT
The Take Over The Breaks Over,Fall Out Boy,4zCfMDdf5QXPKEqxdinXvB
This Ain't A Scene It's An Arms Race,Fall Out Boy,4c7xQ7OsqL6W4RwEQmID7g
I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You),Fall Out Boy,57cMYn8UplOyIVUYCcI9l0
Hum Hallelujah,Fall Out Boy,1ItNEDeGMEJ7WpHSGsy6vT
Golden,Fall Out Boy,5GtQiEpHEOPJR0FCq9GOSL
Thnks fr th Mmrs,Fall Out Boy,0Xm1MphW32ekOkhnoe61lk
Don't You Know Who I Think I Am?,Fall Out Boy,2QOnKznMiAIslV8cy5YqKC
The (After) Life Of The Party,Fall Out Boy,5VBuj3BG5N5NkmanAcaj7r
The Carpal Tunnel Of Love,Fall Out Boy,2NTVGqH0kHoH0Fa4rXet7E
Bang The Doldrums,Fall Out Boy,3SbguEsl4Ny8vIdS72vtiz
Fame < Infamy,Fall Out Boy,1x4MtYDDherm9NBPyequf3
You're Crashing But You're No Wave,Fall Out Boy,1BwiygT4liU8ysFPHEOC40
I've Got All This Ringing In My Ears And None On My Fingers,Fall Out Boy,5h6rwKuOezIxKukNsGvJUJ
Our Lawyer Made Us Change The Name Of This Song So We Wouldn't Get Sued,Fall Out Boy,73A0DxzMGDhVGsvHQSaaBq
Of All The Gin Joints In All The World,Fall Out Boy,4304kbwhzhb8A3n6wl27Kg
Dance Dance,Fall Out Boy,0a7BloCiNzLDD9qSQHh5m7
Sugar We're Goin Down,Fall Out Boy,2TfSHkHiFO4gRztVIkggkE
Nobody Puts Baby In The Corner,Fall Out Boy,6HJzCcSMggn7Ultxs48dAe
I've Got A Dark Alley And A Bad Idea That Says You Should Shut Your Mouth (Summer Song),Fall Out Boy,3DASPeFJXSIycNpbROhrAC
Sophomore Slump Or Comeback Of The Year,Fall Out Boy,1iir1dMidSGRzbPMCCEtfX
Champagne For My Real Friends Real Pain For My Sham Friends,Fall Out Boy,78A2FZKzGtkaIIlov5te9S
I Slept With Someone In Fall Out Boy And All I Got Was This Stupid Song Written About Me,Fall Out Boy,79oQb66jALYYKX1hn4qs4p
A Little Less Sixteen Candles A Little More Touch Me,Fall Out Boy,4pmU8AtVu9qU40Xd9zjEfA
Get Busy Living Or Get Busy Dying (Do Your Part To Save The Scene And Stop Going To Shows),Fall Out Boy,4903HFfvLIQ8ujvQ0ARNGI
XO,Fall Out Boy,4u2JQ1rzBirJVn6Ka2aQ5l
Tell That Mick He Just Made My List Of Things To Do Today,Fall Out Boy,6mCjOSXkABONouTVa6PQOy
Dead On Arrival,Fall Out Boy,7naGWci9bflvfdzxphFjAw
Grand Theft Autumn/Where Is Your Boy,Fall Out Boy,3JOdLCIBzQYwHIvpN3isVf
Saturday,Fall Out Boy,423FiDerFgzeEcqKEOmZ81
Homesick At Space Camp,Fall Out Boy,5sIweazpg4JYBjyxABUx9y
Sending Postcards From A Plane Crash [Wish You Were Here],Fall Out Boy,6myPy86FHUBJsFi7RAWp5Y
Chicago Is So Two Years Ago,Fall Out Boy,3P8zrkBArAfdjFJxPtZRUO
The Pros And Cons Of Breathing,Fall Out Boy,3koOoLN69AAiw5JCQNaZMe
Grenade Jumper,Fall Out Boy,3jsNPTt6LUyB2srOcZaq47
Calm Before The Storm,Fall Out Boy,0dqREqnSQyV4mBwfPdFbLk
Reinventing The Wheel To Run Myself Over,Fall Out Boy,4tj6uekOEtNOqJJ8BpBP74
The Patron Saint Of Liars And Fakes,Fall Out Boy,0aHWzIvtnkG3FVcBoFQ6BG
Hard Times,Paramore,0w5Bdu51Ka25Pf3hojsKHh
Rose-Colored Boy,Paramore,2RJfK2pOvGpnxC255YOy5k
Told You So,Paramore,7BpYWzZwrsljT1eIjb0TqR
Forgiveness,Paramore,74ABBu8osxqmuFOAKcWWpG
Fake Happy,Paramore,6t44iU80A0h8WQ7vc4OoRj
Pool,Paramore,3xCsHloPBl211Yi4UEUUcm
Grudges,Paramore,3WKz5JDH0St3Smips7NlOM
Caught In The Middle,Paramore,27zJBz0YnuZO69U69z96vd
Idle Worship,Paramore,50zSoW3GT1Ee4hXxQPO08t
No Friend,Paramore,6RaLExL28RxCmQNUnDvUFT
Tell Me How,Paramore,0Nt9OgNZ856RjKIPldNRf9
Fast In My Car,Paramore,6r9cqn3KG824MXSo7sHPlK
Now,Paramore,0LBz07gAdgUukYvpFyW87y
Grow Up,Paramore,0M8MIyYKkq2ETYuM57LzI0
Daydreaming,Paramore,6sW6EvagT9ljwokJlG6obt
Interlude: Moving On,Paramore,6pqJNsWUnHm74pDm0h6iDL
Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa
Part II,Paramore,6SFbRVZMfbLsXHXc7JqzRs
Last Hope,Paramore,2VBluJiNj9bKohWX0dY1Lh
Still Into You,Paramore,1yjY7rpaAQvKwpdUliHx0d
Anklebiters,Paramore,3hgzEGrm5iTY6pkgJ827qX
Interlude: Holiday,Paramore,6IAaP75vqVa1fVb7ZOua94
